Wavelength, Response, Energy
nm, a.u., eV
381, 4.389725176542967, 3.26279528,
386, 17.501204874012984, 3.22053109,
391, 35.282526655513394, 3.17934783,
396, 75.69462161346888, 3.13920455,
401, 91.32063166387834, 3.10006234,
406, 99.40305065546944, 3.06188424,
411, 85.93235233615096, 3.02463504,
416, 60.78704880675642, 2.98828125,
421, 53.60267636978655, 2.95279097,
426, 48.573615663907646, 2.9181338,
431, 43.90377357987724, 2.88428074,
438, 35.11129085463703, 2.83818493,
446, 25.224405243755584, 2.78727578,
451, 18.93807936140695, 2.75637472,
456, 15.166283831997774, 2.72615132,
461, 11.753706924437068, 2.69658351,
466, 9.598395193346121, 2.66765021,
471, 7.802302084103658, 2.63933121,
476, 4.928553109315729, 2.61160714,
481, 4.210115865618732, 2.58445946,
491, 3.1324600000732374, 2.53182281,
496, 1.6955855126792727, 2.5063004,